Mode,Time,Yaw_SP,Roll,Pitch,Yaw,northCurrentPos,eastCurrentPos,downCurrentPos,errorNorth,errorEast,errorDown,self.pitchAngle,self.rollAngle,self.thrust
STABILIZE,10.8525469303,2.91528344154,-0.0373691692948,0.0224367752671,2.94285511971,1.17,1.27,0.02,0.77,0.87,-0.38,-0.154,0.174,0.5475
STABILIZE,10.9559948444,2.91528344154,-0.0373691692948,0.0224367752671,2.94285511971,1.17,1.28,0.02,0.77,0.88,-0.38,-0.154,0.18097577586,0.5475
STABILIZE,11.0683839321,2.91528344154,-0.0374746397138,0.0222632903606,2.94313836098,1.16,1.28,0.02,0.76,0.88,-0.38,-0.147071206885,0.176,0.5475
STABILIZE,11.172552824,2.91528344154,-0.0374746397138,0.0222632903606,2.94313836098,1.16,1.27,0.02,0.76,0.87,-0.38,-0.152,0.16912125885,0.5475
STABILIZE,11.2775568962,2.91528344154,-0.0374746397138,0.0222632903606,2.94313836098,1.16,1.28,0.02,0.76,0.88,-0.38,-0.152,0.180833258026,0.5475
STABILIZE,11.381321907,2.91528344154,-0.0374746397138,0.0222632903606,2.94313836098,1.16,1.28,0.02,0.76,0.88,-0.38,-0.152,0.176,0.5475
STABILIZE,11.4847369194,2.91528344154,-0.0374746397138,0.0222632903606,2.94313836098,1.16,1.27,0.02,0.76,0.87,-0.38,-0.152,0.169255395011,0.5475
STABILIZE,11.5917320251,2.91528344154,-0.0374746397138,0.0222632903606,2.94313836098,1.17,1.28,0.02,0.77,0.88,-0.38,-0.158701881611,0.180701881611,0.5475
STABILIZE,11.6983108521,2.91528344154,-0.0374746397138,0.0222632903606,2.94313836098,1.17,1.27,0.02,0.77,0.87,-0.38,-0.154,0.169341525708,0.5475
STABILIZE,11.8027119637,2.91528344154,-0.0374746397138,0.0222632903606,2.94313836098,1.16,1.28,0.02,0.76,0.88,-0.38,-0.147383964387,0.180616035613,0.5475
STABILIZE,11.906291008,2.91528344154,-0.0374746397138,0.0222632903606,2.94313836098,1.17,1.28,0.02,0.77,0.88,-0.38,-0.15857520267,0.176,0.5475
STABILIZE,12.0143148899,2.91528344154,-0.0374746397138,0.0222632903606,2.94313836098,1.17,1.28,0.02,0.77,0.88,-0.38,-0.154,0.176,0.5475
STABILIZE,12.1190078259,2.91528344154,-0.0375198051333,0.0221409313381,2.94317889214,1.16,1.28,0.02,0.76,0.88,-0.38,-0.147505377832,0.176,0.5475
STABILIZE,12.2226228714,2.91528344154,-0.0375198051333,0.0221409313381,2.94317889214,1.16,1.28,0.02,0.76,0.88,-0.38,-0.152,0.176,0.5475
STABILIZE,12.3257639408,2.91528344154,-0.0375198051333,0.0221409313381,2.94317889214,1.16,1.28,0.02,0.76,0.88,-0.38,-0.152,0.176,0.5475
STABILIZE,12.4291679859,2.91528344154,-0.0375198051333,0.0221409313381,2.94317889214,1.17,1.27,0.02,0.77,0.87,-0.38,-0.158381051174,0.169618948826,0.5475
STABILIZE,12.5322320461,2.91528344154,-0.0375198051333,0.0221409313381,2.94317889214,1.16,1.28,0.02,0.76,0.88,-0.38,-0.147655390035,0.180344609965,0.5475
STABILIZE,12.6361899376,2.91528344154,-0.0375198051333,0.0221409313381,2.94317889214,1.16,1.28,0.02,0.76,0.88,-0.38,-0.152,0.176,0.5475
STABILIZE,12.7396309376,2.91528344154,-0.0375198051333,0.0221409313381,2.94317889214,1.16,1.28,0.02,0.76,0.88,-0.38,-0.152,0.176,0.5475
STABILIZE,12.8426139355,2.91528344154,-0.0375198051333,0.0221409313381,2.94317889214,1.16,1.27,0.02,0.76,0.87,-0.38,-0.152,0.169761268997,0.5475
STABILIZE,12.9496860504,2.91528344154,-0.0375198051333,0.0221409313381,2.94317889214,1.17,1.28,0.02,0.77,0.88,-0.38,-0.158204742351,0.180204742351,0.5475
STABILIZE,13.0565218925,2.91528344154,-0.0374334678054,0.022113321349,2.9435338974,1.16,1.18,0.02,0.76,0.78,-0.38,-0.14783002917,0.114300291698,0.5475
STABILIZE,13.1606068611,2.91528344154,-0.0374334678054,0.022113321349,2.9435338974,1.16,1.18,0.02,0.76,0.78,-0.38,-0.152,0.156,0.5475
STABILIZE,13.2640948296,2.91528344154,-0.0374334678054,0.022113321349,2.9435338974,1.17,1.27,0.02,0.77,0.87,-0.38,-0.158103144589,0.210928301298,0.5475
STABILIZE,13.3674108982,2.91528344154,-0.0374334678054,0.022113321349,2.9435338974,1.16,1.27,0.02,0.76,0.87,-0.38,-0.14792887073,0.174,0.5475
